OBJECTID,POPCHANGE,PCTCHANGE,EMPCHANGE,EMPPCTCHANGE,EMPDEN2045,EMPDENCHANGE,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
1,5.66093397,5.6609339,-7e-08,0.29490709,0.29490709,0,MoveDC_Pop_Emp_ForecastsPly_313,{CFCB9A17-8426-4004-A2A9-F9DE2E5EB1F1},,,,,0,0
2,3.39170885,3.39170897,1.2e-07,0.30921563,0.30921563,0,MoveDC_Pop_Emp_ForecastsPly_312,{BB4CFF89-BD39-4989-8A33-CA222B7E7369},,,,,0,0
3,9.24008656,13.09618602,3.85609946,9.60386975,10.98624494,1.38237519,MoveDC_Pop_Emp_ForecastsPly_326,{9EDD3911-0757-4B5B-8F39-C5412EFD9573},,,,,0,0
4,0.73418748,0.73418748,0,0.16184964,0.16184964,0,MoveDC_Pop_Emp_ForecastsPly_308,{1CD6590E-6A54-4540-9BC7-A6FA81138C92},,,,,0,0
5,3.16485715,3.1648572,5e-08,0.50214853,0.50214853,0,MoveDC_Pop_Emp_ForecastsPly_311,{B25A90E0-C80D-41DD-AF08-C9056066DADB},,,,,0,0
6,9.16346264,9.16346296,3.2e-07,0.95215379,0.95215379,0,MoveDC_Pop_Emp_ForecastsPly_325,{39AE62A3-B514-4153-B6C4-84C77741410C},,,,,0,0
7,20.37237167,26.61194445,6.23957278,4.77344295,11.84836733,7.07492437,MoveDC_Pop_Emp_ForecastsPly_327,{4528230E-C7E1-48D7-A449-D7D76FF94529},,,,,0,0
8,15.37953758,22.75586539,7.37632781,9.73758794,15.65118749,5.91359955,MoveDC_Pop_Emp_ForecastsPly_324,{10B39EC5-ABC0-434A-B70B-81D9161583F3},,,,,0,0
9,0,0,0,0,0,0,MoveDC_Pop_Emp_ForecastsPly_309,{2907A73A-2248-49ED-8620-DD6D0C29B8F4},,,,,0,0
10,10.16804886,10.16804931,4.5e-07,2.25802257,2.25802257,0,MoveDC_Pop_Emp_ForecastsPly_310,{CD97BF0E-2A05-42AD-9451-559C72C2342F},,,,,0,0
11,16.33835602,23.36802143,7.02966542,8.87856419,12.72401607,3.84545188,MoveDC_Pop_Emp_ForecastsPly_328,{5CAFFD3D-01FF-4D30-8534-8E1CC346B4F4},,,,,0,0
12,19.87897873,26.69787178,6.81889305,3.88914129,4.53905084,0.64990955,MoveDC_Pop_Emp_ForecastsPly_32,{E1DF6ED4-7A16-41A8-AD63-D7DF7C8AE397},,,,,0,0
13,3.00708556,27.70573271,24.69864715,38.00246692,56.52645223,18.52398532,MoveDC_Pop_Emp_ForecastsPly_31,{1C131B0D-501C-46D1-A5F3-B5273A0E837D},,,,,0,0
14,21.8560791,24.97399954,3.11792044,2.58166805,3.50861711,0.92694906,MoveDC_Pop_Emp_ForecastsPly_25,{77BEF6E3-858A-4F98-8B86-96493C1EBC0E},,,,,0,0
15,13.70683002,15.65596606,1.94913604,1.86530252,1.86530252,0,MoveDC_Pop_Emp_ForecastsPly_305,{D2C5CCC7-628B-4B5B-A63C-9C6253C6C1A7},,,,,0,0
16,10.6861515,12.01468033,1.32852883,3.04077477,3.82268829,0.78191351,MoveDC_Pop_Emp_ForecastsPly_323,{C031390D-B303-4F85-BFC1-5D57979D8515},,,,,0,0
17,37.28623199,56.78348874,19.49725674,2.53551762,6.60445173,4.06893411,MoveDC_Pop_Emp_ForecastsPly_24,{44CE9BEE-13B8-4595-98B1-E6B9AA65D99D},,,,,0,0
18,58.99053192,85.02665129,26.03611936,2.44844869,2.44844869,0,MoveDC_Pop_Emp_ForecastsPly_30,{9F3E4041-8239-49A8-BC9C-CBFDCC06C338},,,,,0,0
19,17.14094353,18.73899016,1.59804663,3.1326772,3.73511513,0.60243792,MoveDC_Pop_Emp_ForecastsPly_304,{F2EF20C6-C777-47E1-98B5-99599D804C7F},,,,,0,0
20,9.81937885,11.28796616,1.46858731,2.3151849,2.3151849,0,MoveDC_Pop_Emp_ForecastsPly_306,{4AA1BE8F-8F88-415D-90B0-41E2218E67F6},,,,,0,0
21,0,0,0,0,0,0,MoveDC_Pop_Emp_ForecastsPly_307,{61073443-EEF0-4D1D-8DFE-2F7B709F544C},,,,,0,0
22,12.27020836,12.89984325,0.62963489,0.79856173,0.79856173,0,MoveDC_Pop_Emp_ForecastsPly_329,{AAAD7EF4-A83E-43E4-A309-01D9D9D8A5D8},,,,,0,0
23,18.88027191,18.88027235,4.4e-07,7.92992784,8.0473292,0.11740135,MoveDC_Pop_Emp_ForecastsPly_295,{92D936CB-8BBA-424C-9015-D815D9D40C43},,,,,0,0
24,21.94929695,22.26592296,0.31662601,5.94438861,6.43464746,0.49025885,MoveDC_Pop_Emp_ForecastsPly_330,{C0DAD730-11D0-44B0-85D3-9665D22C988C},,,,,0,0
25,19.74256897,22.52614271,2.78357374,5.42846359,6.30018767,0.87172408,MoveDC_Pop_Emp_ForecastsPly_23,{F1E3AD01-28FC-45C1-A949-2F5CC11A98A7},,,,,0,0
26,14.55102634,19.15088186,4.59985552,6.74038172,9.87147121,3.13108948,MoveDC_Pop_Emp_ForecastsPly_322,{47CA4411-8F63-4A73-BA70-E1A008A8F81A},,,,,0,0
